,Account Number,Latitude,Longitude,Legal Name,Address,FIPS,Tract,Block
84,10047,41.8698556,-87.64027031,"PORTILLO'S HOT DOGS, LLC",520 W TAYLOR ST 1 AND 2,170318419002023,841900,2023
85,10141,41.88426142,-87.64953413,"PEPE""S RETAIL MEATS, INC.",853-855 W RANDOLPH ST 1ST,170318330001048,833000,1048
86,10175,41.87811547,-87.62695786,MONDAY'S RESTAURANT NO5 INC,19 E JACKSON BLVD,170313204001035,320400,1035
87,10211,41.88754294,-87.62440699999999,THE TAVERN CLUB,333 N MICHIGAN AVE,170313201002016,320100,2016
88,10598,41.88779017,-87.62127871,"FAYCURR, INC",233 E WACKER DR,170313201002018,320100,2018
89,10683,41.87448117,-87.62935654,"STAR OF SUPERSTARS, INC.",600 S DEARBORN ST 1,170318390004002,839000,4002
90,10850,41.88295238,-87.65212524,"WISHBONE RESTAURANT, INC.",1001 W WASHINGTON BLVD,170318330001063,833000,1063
91,11184,41.88449216,-87.64892804,KDK INC,838 W RANDOLPH ST,170318330001030,833000,1030
92,11284,41.886708399999996,-87.64998659999999,SHENKS RESTAURANT & TAVERN INC,232 N PEORIA ST,170318330001019,833000,1019
93,11491,41.88582205,-87.63230374,OSCAR'S RESTAURANT & BAR INC,203 N LA SALLE ST,170318391001024,839100,1024
94,11684,41.87211261,-87.64130526,POLK STREET CO.,548 W POLK ST 1ST,170318419001064,841900,1064
95,13376,41.88209337,-87.63039165,ROSETTE'S INC,70 W MADISON ST,170318391001076,839100,1076
96,13552,41.88459574,-87.62879501,LIVE NATION,24 W RANDOLPH ST  1ST,170318391001038,839100,1038
97,13722,41.88450187,-87.64837368,"KDK III, INC",820 W RANDOLPH ST,170318330001029,833000,1029
98,13898,41.87343457,-87.66643368,HYATT CORPORATION,625 S ASHLAND AVE  1ST F,170318329001009,832900,1009
99,14389,41.87853128,-87.63942746,"THE SNUGGERY AT UNION STATION, INC.",225 S CANAL ST,170312819001001,281900,1001
100,14423,41.88241091,-87.63717471,LYRIC OPERA OF CHICAGO,20 N WACKER DR  ENTIR,170318391001058,839100,1058
101,14667,41.88427722,-87.64865853,"KDK II, INC.",833 W RANDOLPH ST,170318330001048,833000,1048
102,14718,41.87118435,-87.62606949,IL FORNO RESTAURANT INC,850 S WABASH AVE,170313206002012,320600,2012
103,14853,41.875537200000004,-87.63351022,"STRUGA, INC.",501 S WELLS ST 1ST,170318391002033,839100,2033
104,14974,41.88153164,-87.65578993,CHELI'S GOURMET FOODS INC,1137 W MADISON ST,170318331001012,833100,1012
105,14993,41.88530742,-87.66233715,"HARVARD INN, INC.",1393 W LAKE ST 1ST,170318330002038,833000,2038
106,15231,41.88737641,-87.66144306,BLUE PLATE CATERING LTD.,333 N OGDEN AVE 1,170318330002015,833000,2015
107,15299,41.87813818,-87.637065,VENICE CAFE LIMITED,250 S WACKER DR,170318391002004,839100,2004
108,15446,41.88449669,-87.64866551,PALADINO'S INC,832 W RANDOLPH ST,170318330001030,833000,1030
109,15537,41.88670756,-87.62788348,"NICK & TONY'S, INC.",1 E WACKER DR 1ST,170313201002012,320100,2012
110,15779,41.88896911,-87.6520881,"MORGAN MARKET, INC",375 N MORGAN ST,170318330001004,833000,1004
111,15793,41.88670922,-87.6347109,"TUTTO MONDO, INC.",225 W WACKER DR 1ST,170318391001027,839100,1027
112,15954,41.87813818,-87.637065,SUN SAI GUY INCORPORATED,250 S WACKER DR 1ST #,170318391002004,839100,2004
113,16207,41.88317184,-87.65213309999999,HAPPY VALLEY CORPORATION,1000 W WASHINGTON BLVD,170318330001053,833000,1053
114,16219,41.87792458,-87.66684936,"CAFE PENELOPE, INC.",230-236 S ASHLAND AVE,170318381002031,838100,2031
115,16384,41.88053925,-87.63459246,BON APPETIT MANAGEMENT CO.,227 W MONROE ST  CORPO,170318391002000,839100,2000
116,16678,41.87941085,-87.63710396,BEAU'S INC,150 S WACKER DR  56,170318391002003,839100,2003
117,16689,41.8692309,-87.66156177,"LA VITA, INC.",1359 W TAYLOR ST 1ST,170312832001007,283200,1007
118,16747,41.88352649,-87.6260822,"GARLAND BLD. COFFEESHOP, INC.",111 N WABASH AVE 7 700,170313201001015,320100,1015
119,16787,41.88084814,-87.62843558,"CHICAGO CONCESSIONS, INC.",18 W MONROE ST  BALCO,170318391001079,839100,1079
120,16964,41.88670423,-87.62805356,RENAISSANCE HOTEL OPERATING COMPANY,1 W WACKER DR  SERV/,170318391001020,839100,1020
121,16976,41.87739694,-87.62751493,"MY THAI I, CORP.",333 S STATE ST 1ST,170313204001035,320400,1035
122,17030,41.88820137,-87.62097056,"THE BERGERAC GROUP, LTD.",233 E RIVERWALK SOUTH  1,170313201002004,320100,2004
123,17179,41.88311169,-87.62585099,"PITTSFIELD CAFE, LTD",55 E WASHINGTON ST 1ST,170313201001018,320100,1018
124,17185,41.87779927,-87.64963393,901 JACKSON LCC.,901 W JACKSON BLVD,170318331002019,833100,2019
125,17285,41.88135321,-87.66591594,"BILLY GOAT INN, INC.",1535 W MADISON ST,170318331003011,833100,3011
126,17591,41.86939111,-87.62732369,"ID ENTERPRISES, INC.",1023 S STATE ST,170313206002014,320600,2014
127,17934,41.88331726,-87.63302428,DINING HERITAGE INC.,170 W WASHINGTON ST  BASEMENT,170318391001057,839100,1057
128,17964,41.87670359,-87.63089140000001,CARMEN MORALES,406 S CLARK ST,170318391002021,839100,2021
129,18171,41.88567203,-87.65336679,LOS PETATES INC.,1032 W LAKE ST,170318330001040,833000,1040
130,18588,41.88423038,-87.65134305,"B, K, & H ENTERTAINMENT INC.",941 W RANDOLPH ST,170318330001046,833000,1046
131,18589,41.88463208,-87.62224799,"RANDOLPH/STETSON SOPRAFFINA MARKETCAFFE', L.L.C.",200 E RANDOLPH ST,170313201002032,320100,2032
132,18648,41.86435646,-87.62393432,"CLUB ALPHONSE, INC",1351 S MICHIGAN AVE,170313301001010,330100,1010
133,18734,41.88055703,-87.63713178,"KERRY #. 4, LCC.",100 S WACKER DR  140,170318391002003,839100,2003
134,18872,41.88048626,-87.65407836,"CARMICHAEL'S STEAK HOUSE, LP.",1052 W MONROE ST 1ST,170318331001014,833100,1014
135,18909,41.88755604,-87.61965509,SWISSOTEL MANAGEMENT (USA) LCC,323 E WACKER DR 1ST,170313201003008,320100,3008
136,18922,41.88172197,-87.62634963,"ADA'S ON WABASH, INC",14 S WABASH AVE  1ST,170313204001010,320400,1010
137,19017,41.88181877,-87.62635317,SILVERSMITH LLC,10 S WABASH AVE,170313204001010,320400,1010
138,19165,41.87651625,-87.62910663,"415 SOUTH DEARBORN, INC.",415 S DEARBORN ST  #4,170318391002024,839100,2024
139,19416,41.88807943,-87.62404737,"ADAK OF ILLINOIS, LLC",111 E WACKER DR,170313201002019,320100,2019
140,19446,41.88427445,-87.66243303,"EMANON, L.L.C.",1400 W RANDOLPH ST 1,170318330002038,833000,2038
141,19810,41.88600583,-87.62082896,"BFH MANAGEMENT SERVICES, INC",200 N COLUMBUS DR METRO #,170313201002032,320100,2032
142,20007,41.87804348,-87.64818021,"VARELADIKO, INC.",820 W JACKSON BLVD,170318331001023,833100,1023
143,20098,41.88137106,-87.62449175,"CAFE THAI,  CORP.",30 S MICHIGAN AVE  1,170313204001008,320400,1008
144,20380,41.88338938,-87.6530979,"LA SARDINE, INC.",111 N CARPENTER ST 1ST,170318330001053,833000,1053
145,21101,41.88448907,-87.64910358,TODAY'S SUSHI CORPORATION,842 W RANDOLPH ST,170318330001030,833000,1030
146,21237,41.87181181,-87.62431550000001,800 SOUTH MICHIGAN RESTAURANT,800 S MICHIGAN AVE  GR FL,170313206002010,320600,2010
147,21300,41.87669416,-87.63383684,"FINANCIAL BAR & GRILL, INC.",404-412 S WELLS ST 1ST,170318391002016,839100,2016
148,21331,41.88316348,-87.65256895,"LE PEEP GRILL OF WASHINGTON STREET, INC.",1010 W WASHINGTON BLVD GROUND,170318330001053,833000,1053
149,21339,41.87685078,-87.64189705,"J & C INN, INC",558 W VAN BUREN ST 1ST,170312819001023,281900,1023
150,21408,41.8665204,-87.6256632,MAO INC.,1233 S WABASH AVE 1ST,170313301001003,330100,1003
151,21847,41.88165389,-87.66160473,"JOHNNY'S ICE HOUSE, INC.",1350 W MADISON ST 1ST,170318330002099,833000,2099
152,22016,41.88455302,-87.63968258,FUNSPOT LP,440 W RANDOLPH ST  1ST A,170312801002001,280100,2001
153,22031,41.882940600000005,-87.63400629,"STOCKS & BLONDES, INC.",40 N WELLS ST,170318391001055,839100,1055
154,22473,41.87805068,-87.62978101,CAVANAUGH'S LLC,53 W JACKSON BLVD,170318391001104,839100,1104
155,22633,41.88075716,-87.6347093,"CHIPOTLE MEXICAN GRILL, INC.",230 W MONROE ST,170318391001086,839100,1086
156,22845,41.86945039,-87.66156785,"BEVIAMO, INC.",1358 W TAYLOR ST 1ST,170312832001006,283200,1006
157,22928,41.88404873,-87.66305613,"THE ANGEL'S SHARE, LTD.",1415 W RANDOLPH ST 1&2,170318330002068,833000,2068
158,23031,41.86534538,-87.62593259999998,"BOUTIQUE HOSPITALITY COMPANY-WABASH, L.L.C.",1312 -1314 S WABASH AVE  1ST,170313301001007,330100,1007
159,23287,41.88432101,-87.65892437,"THE EXECUTIVES ON RANDOLPH, INC.",1300 W RANDOLPH ST,170318330002063,833000,2063
160,23330,41.88554631,-87.64796643,RUFUS MCCULLUM & SYED GILANI,811-813 W LAKE ST,170318330001026,833000,1026
161,23393,41.88269467,-87.63253143,"CALIFORNIA PIZZA KITCHEN, INC.",30 N LA SALLE ST 1ST 100H,170318391001056,839100,1056
162,23430,41.88061601,-87.62904943,"33 RESTAURANT, INC.",33 W MONROE ST  FIRST,170318391001081,839100,1081
163,23452,41.88602728,-87.62216627,TYPHOON ILLINOIS CENTER INC,211 N STETSON AVE,170313201002032,320100,2032
164,23736,41.88670967,-87.62930303,"NAUMAN ENTERPRISES, INC",35 W WACKER DR  21ST,170318391001020,839100,1020
165,23999,41.87678483,-87.63383891,CALS 400 LIQUOR INC,400 S WELLS ST 1ST,170318391002016,839100,2016
166,24106,41.87342663,-87.62611957,WABASH-HARRISON INC,646 S WABASH AVE 1ST,170313206002003,320600,2003
167,32101,41.88347312,-87.62772975,"MARSHALL FIELD'S CHICAGO, INC.",111 N STATE ST,170313201001016,320100,1016
168,32173,41.86920687,-87.66308737,"1435 W. TAYLOR, INC.",1435 W TAYLOR ST 1ST,170312831001000,283100,1000
169,32225,41.87943624,-87.62485436,"KLARETTA FOODS, INC.",77 E ADAMS ST,170313204001014,320400,1014
170,35577,41.883922600000005,-87.63402524,"PAGO PAGO II, INC.",126 N WELLS ST LOWER #,170318391001048,839100,1048
171,39251,41.88561956,-87.63427571,"SELECTIVE PUBLISHING, INC.",209 W LAKE ST,170318391001033,839100,1033
172,40992,41.87300255,-87.62648057,CENTER FOR INTERNATIONAL PERFORMANCE AND EXHIBITION,31 E BALBO AVE,170313206002006,320600,2006
173,44053,41.88331491,-87.63541604,BAEN INC,300 W WASHINGTON ST  LOBBY,170318391001050,839100,1050
174,46312,41.87406368,-87.62613531,CHARMING FOOD NETWORK INC.,614 S WABASH AVE,170313206002003,320600,2003
175,50161,41.88411358,-87.65808167,"LUMA, LLC",1235 W RANDOLPH ST,170318330002065,833000,2065
176,50575,41.86403564,-87.61929707,FIELD MUSEUM OF NATURAL HISTORY,1400 S LAKE SHORE DR,170313301004013,330100,4013
177,52016,41.87588847,-87.63188472,"ONE FIN, INC.",440 S LA SALLE ST 40TH,170318391002020,839100,2020
178,53720,41.88453096,-87.62460205,150 N MICHIGAN CORP,150 N MICHIGAN AVE  LOWER,170313201002027,320100,2027
179,54205,41.8822157,-87.62955625,"SOPRAFFINA, INC.",10 N DEARBORN ST,170318391001076,839100,1076
180,54793,41.88630857,-87.63231876,"LA SALLE WACKER BAR& GRILLE,IN",221 N LA SALLE ST 1ST,170318391001017,839100,1017
181,56350,41.87928364,-87.6371007,"LIFESTART AT 200, INC.",200 S WACKER DR 1ST,170318391002004,839100,2004
182,61834,41.87279887,-87.62433781,"KITTY O'SHEA'S CHICAGO, LLC",720 S MICHIGAN AVE,170313206002007,320600,2007
183,62488,41.8808097,-87.63058092,THE MID-DAY CLUB,76 W MONROE ST  56TH,170318391001077,839100,1077
184,62540,41.88076228,-87.63070759,NICK'S FISHMARKET RESTAURANT,51 S CLARK ST 1ST,170318391001077,839100,1077
185,62544,41.87556911,-87.62938323,HYATT CORPORATION,500-538 S DEARBORN ST  PRAIR,170318391002028,839100,2028
186,62661,41.88164121,-87.66234899,LEMPERIS RESTAURANT CORPORATION,1408 W MADISON ST 1ST,170318330002090,833000,2090
187,63164,41.86917024,-87.66538447,"POMPEI BAKERY, LTD",1531 W TAYLOR ST  1ST,170312831001001,283100,1001
188,63286,41.88670967,-87.62930303,35 WEST LP,35 W WACKER DR 1ST,170318391001020,839100,1020
189,63300,41.87853829,-87.63241426,"SODEXO MANAGEMENT, INC.",230 S LA SALLE ST 3RD,170318391001099,839100,1099
190,63352,41.87517906,-87.62747379,"ARAMARK EDUCATIONAL SERVICES, LLC",525 S STATE ST,170313204001043,320400,1043
191,63387,41.86945394,-87.66133829,GENARO'S RESTAURANT INC,1352 W TAYLOR ST,170312832001006,283200,1006
192,63557,41.87994706,-87.62629031,23 E ADAMS STREET CORP,134 S WABASH AVE 1ST,170313204001011,320400,1011
193,63691,41.86230608,-87.60952225,BURNHAM PARK YACHT CLUB,1500 S LYNN WHITE DR 1ST,170313301004006,330100,4006
194,63694,41.88140721,-87.63715509,THE GRANDMA GEBHARD COMPANY,30 S WACKER DR 1ST,170318391001074,839100,1074
195,63726,41.87523756,-87.62907785,OAK GINO'S INC.,521 S DEARBORN ST,170318391002046,839100,2046
196,63801,41.88514243,-87.62962434,CHICAGO THEATRE GROUP INC,170 N DEARBORN ST,170318391001036,839100,1036
197,64059,41.87856015,-87.63652387,LMB INC,233 S WACKER DR 1ST,170318391002006,839100,2006
198,64451,41.87525983,-87.62439667,"CONGRESS PLAZA HOTEL, LLC",520 S MICHIGAN AVE,170313204001040,320400,1040
199,64455,41.87748908,-87.63504471,"325 S. FRANKLIN, INC",325 S FRANKLIN ST 1ST,170318391002013,839100,2013
200,64543,41.86795123,-87.64236163,GOLD STANDARD ENTERPRISES INC.,1132 S JEFFERSON ST,170318419002019,841900,2019
201,64978,41.87451215,-87.63986471,WESTLOOP EQUITIES LLC,506 W HARRISON ST,170318419001054,841900,1054
202,65268,41.86044993,-87.61748819,"LAKEFRONT OPERATIONS, INC.",1559 S LAKE SHORE DR  FIRST,170313301004017,330100,4017
203,65281,41.88775652,-87.62551819,"CHIBOY, L.L.C.",71 E WACKER DR  MINI-,170313201002005,320100,2005
204,65358,41.88695626,-87.63149823,"PODRUMEDIC RESTAURANTS, INC.",117 W RIVERWALK SOUTH  RIVERWALK,170318391001013,839100,1013
205,66022,41.88039584,-87.62450172,"COSI, INC.",116 S MICHIGAN AVE,170313204001013,320400,1013
206,67871,41.8767277,-87.63432175,"SOL CAFE, INC.",221 W VAN BUREN ST  1ST,170318391002016,839100,2016
207,68080,41.8852378,-87.62778183,CHICAGO ASSOC FOR THE PERF ART,175 N STATE ST  FIRST,170313201002024,320100,2024
208,68277,41.8642488,-87.62393363,CHICAGO'S OWN STRICTLY BUS INC,1355 S MICHIGAN AVE 1ST,170313301001010,330100,1010
209,81365,41.86748423,-87.61915038,"SODEXO AMERICA, LLC",1200 S LAKE SHORE DR,170313301004012,330100,4012
210,81813,41.88545575,-87.65315631,FAR LLP,1023 W LAKE ST 1ST #,170318330001038,833000,1038
211,82054,41.88528666,-87.66343138,"MET PARTNERS, INC.",1431 W LAKE ST EAST,170318330002030,833000,2030
212,85286,41.87998273,-87.62757519,BEEF AND BRANDY RESTAURANT AND LOUNGE INCORPORATED,127 S STATE ST 1ST,170313204001011,320400,1011
213,85294,41.87890404,-87.62625048,4-M ENTERPRISES INC,224-226 S WABASH AVE,170313204001020,320400,1020
214,85312,41.86403564,-87.61929707,"MAGGIANO'S, INC.",1400 S LAKE SHORE DR  FIELD,170313301004013,330100,4013
215,85358,41.88205499,-87.6338999,MADISON GROUP INC,200 W MADISON ST 1ST,170318391001061,839100,1061
216,85369,41.88164539,-87.63220954,"RESIDENCE INN BY MARRIOTT, LLC",11 S LA SALLE ST,170318391001069,839100,1069
217,85586,41.86748423,-87.61915038,SHEDD AQUARIUM SOCIETY,1200 S LAKE SHORE DR,170313301004012,330100,4012
218,85630,41.86921805,-87.66241482,"LEONA'S PIZZERIA, INC.",1419 W TAYLOR ST,170312831001000,283100,1000
219,85690,41.87758853,-87.62888073,THE STANDARD CLUB,320 S PLYMOUTH CT,170318391001102,839100,1102
220,85751,41.88048754,-87.62450336,THE ART INSTITUTE OF CHICAGO,112 S MICHIGAN AVE,170313204001013,320400,1013
221,85754,41.88458837,-87.62327256,GIORDANOS ENTERPRISES INC,130 E RANDOLPH ST,170313201002034,320100,2034
222,85919,41.8853537,-87.62641329,"THE ILLINOIS INSTITUTE OF ART, INC.",180 N WABASH AVE,170313201002024,320100,2024
223,85931,41.86940905,-87.66419709,GAMA INC,1500 W TAYLOR ST 1ST,170312831002006,283100,2006
224,86014,41.88140721,-87.63715509,"CHICAGO MERCANTILE EXCHANGE, INC",30 S WACKER DR  NO'WS,170318391001074,839100,1074
225,86054,41.87950365,-87.63296974,"WESTERN HOST, INC.",172 W ADAMS ST  ALL F,170318391001095,839100,1095
