,License Id,Account Number,Legal Name,Doing Business As Name,Address,License Code,License Description,Latitude,Longitude,Business Type,FIPS,Tract,Block
72743,2045372,243505,E. DOING INC.,DUNKIN DONUTS,201 N CLARK ST,1006,Retail Food Establishment,41.88577122,-87.63082982,grocery store,170318391001023,839100,1023
71033,1645082,296244,NAND INCORPORATED,SUBWAY #23340,17 S WABASH AVE,1006,Retail Food Establishment,41.88163119,-87.62605243,grocery store,170313204001009,320400,1009
75444,2176032,339943,COMER EXPRESS INC.,LAI LAI RESTAURANT,330 S WELLS ST 1,1006,Retail Food Establishment,41.87736776,-87.63385357,grocery store,170318391002012,839100,2012
92182,1636651,216718,ASHKAR'S FAST FOOD INC,HAROLD'S CHICKEN SHACK #77,39 N WELLS ST,1006,Retail Food Establishment,41.88294581,-87.6337126,grocery store,170318391001056,839100,1056
82242,2418990,400361,STJP Incorporated,7-ELEVEN #34724 B,128 N LA SALLE ST,1006,Retail Food Establishment,41.88397047,-87.63257344,grocery store,170318391001042,839100,1042
23402,1374520,218652,NATHALAL AMBALAL PATEL,CERMAK FOOD MART,540 W GRENSHAW ST,1781,Tobacco,41.86830319,-87.64082864,restaurant,170318419002026,841900,2026
84582,2023992,63164,"POMPEI BAKERY, LTD",POMPEI BAKERY,1531 W TAYLOR ST  1ST,1477,Outdoor Patio,41.86917024,-87.66538447,restaurant,170312831001001,283100,1001
92356,2317712,291504,"JUPITER COFFEE, INC.",JUPITER COFFEE,1139 W FULTON MARKET,1006,Retail Food Establishment,41.88657733,-87.65599107,grocery store,170318330002043,833000,2043
91577,1188065,65514,BB6 LLC,BURRITO BEACH,210 S CANAL ST  10A &,1006,Retail Food Establishment,41.87896179,-87.63973261,grocery store,170312819001002,281900,1002
88624,1813699,268298,"MILLENNIUM PARK JOINT VENTURE, LLC",THE PARK GRILL,11-35 N MICHIGAN AVE,1006,Retail Food Establishment,41.88238074,-87.62422863,grocery store,170313201001012,320100,1012
23325,2045695,276156,"BOCKWINKEL'S AT PARK MILLENNIUM, INC.",BOCKWINKELS,222 N COLUMBUS DR 1ST,1781,Tobacco,41.88633942,-87.62083615,restaurant,170313201002032,320100,2032
84722,1349289,63694,THE GRANDMA GEBHARD COMPANY,RIVERS,30 S WACKER DR 1ST,1477,Outdoor Patio,41.88140721,-87.63715509,restaurant,170318391001074,839100,1074
21111,1355186,262819,RANJAN B. PATEL,JAYJALARAM CANDY STORE,8 S MICHIGAN AVE,1781,Tobacco,41.88189952,-87.62450701,restaurant,170313204001008,320400,1008
56947,1805910,7028,"MARS & MARS COMPANY, INC.",ALCOCK'S,411 S WELLS ST 1ST,1782,"Tobacco Vending, Individual",41.8765621,-87.63353978,restaurant,170318391002018,839100,2018
96347,1897550,296406,"THIRD RAIL TAVERN, INC.",THIRD RAIL TAVERN,1133 W MADISON ST,1470,Tavern,41.88153436,-87.65565022,restaurant,170318331001012,833100,1012
22727,1821584,317745,"MUNCHIES, INC.",MUNCHIES,111 S WACKER DR 1ST N LOBBY,1781,Tobacco,41.8803341,-87.63658024,restaurant,170318391002001,839100,2001
41002,1524977,22031,"STOCKS & BLONDES, INC.",STOCKS & BLONDES,40 N WELLS ST,1006,Retail Food Establishment,41.882940600000005,-87.63400629,grocery store,170318391001055,839100,1055
81048,2311787,312373,ZINA INC.,DUNKIN DONUTS,125 S CLARK ST,1006,Retail Food Establishment,41.87998851,-87.63068884,grocery store,170318391001089,839100,1089
67350,2318136,328204,"WORLD COMPUTER CENTER, INC.",CAMPUS MARKET,1523 W TAYLOR ST 1 1,1006,Retail Food Establishment,41.86917549,-87.66506632,grocery store,170312831001001,283100,1001
79583,1552049,17808,"CNF, INC.",FONTANO  SUBS,20 E JACKSON BLVD 1ST,1006,Retail Food Establishment,41.87833498,-87.62696158,grocery store,170313204001036,320400,1036
19519,2452898,147,WALGREEN CO.,WALGREEN #15667,122 S MICHIGAN AVE 1ST,1781,Tobacco,41.88026337,-87.62450498,restaurant,170313204001013,320400,1013
94264,1916955,9348,THE 180 NORTH WACKER RESTAURANT CORPORATION,PEARL TAVERN,180 N WACKER DR,1470,Tavern,41.88524323,-87.63716479,restaurant,170318391001053,839100,1053
42028,2584958,22928,"THE ANGEL'S SHARE, LTD.",KAISER TIGER,1415 W RANDOLPH ST 1&2,1477,Outdoor Patio,41.88404873,-87.66305613,restaurant,170318330002068,833000,2068
84060,2345120,285703,"ONE SOUTH WACKER RESTAURANT GROUP, LLC",LLOYD'S CHICAGO RESTAURANT,1 S WACKER DR,1006,Retail Food Establishment,41.88188623,-87.63661833,grocery store,170318391001072,839100,1072
81734,2047224,328772,"SUSHI PARA LOOP, LTD.",SUSHI SAI,123 N WACKER DR 1ST 125,1006,Retail Food Establishment,41.88374822,-87.63666184,grocery store,170318391001050,839100,1050
76658,1696100,303314,CHUCKCHOO INC.,DUNKIN DONUTS,27 W LAKE ST,1006,Retail Food Establishment,41.88563926,-87.62897624,grocery store,170318391001037,839100,1037
96035,1406245,4256,COLUMBIA YACHT CLUB,COLUMBIA YACHT CLUB,111 N LAKE SHORE DR,1006,Retail Food Establishment,41.88306562,-87.61545613,grocery store,170310814031007,081403,1007
12296,2513134,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #282,555 S DEARBORN ST  1ST,1006,Retail Food Establishment,41.87466288,-87.62906529,grocery store,170318391002046,839100,2046
27270,2542243,418123,KOME CAFE INCORPORATED,KOME,1303 S MICHIGAN AVE 1,1006,Retail Food Establishment,41.86564878,-87.62396518,grocery store,170313301001010,330100,1010
67574,2315978,26214,"JOSEPH G. STEC, INC.",JOSEPH G STEC WHLSE MEATS INC,230 N PEORIA ST 1ST,1007,Wholesale Food Establishment,41.88664424,-87.64998478,grocery store,170318330001019,833000,1019
79258,2346101,318014,AAS OF ILL INC.,SUBWAY,150 N MICHIGAN AVE 1,1006,Retail Food Establishment,41.88453096,-87.62460205,grocery store,170313201002027,320100,2027
86044,2344820,267111,BRE/SWISS LP,Swissotel Chicago,323 E WACKER DR,1006,Retail Food Establishment,41.88755604,-87.61965509,grocery store,170313201003008,320100,3008
17099,1522862,10598,"FAYCURR, INC",FAYCURR'S MARKET,233 E WACKER DR,1781,Tobacco,41.88779017,-87.62127871,restaurant,170313201002018,320100,2018
68085,1743879,202,NIMAK CORP,MONK'S PUB,205-207 W LAKE ST,1470,Tavern,41.8856185,-87.63412236,restaurant,170318391001033,839100,1033
27681,2558736,385560,"WELLS CONVENIENT, INC.",7 ELEVEN #36881A,177 N WELLS ST  1ST,1781,Tobacco,41.88525719,-87.6337698,restaurant,170318391001034,839100,1034
16987,2535966,417416,LAKESHORE CAFE LLC,THE DRUNKEN BEAN,400 E SOUTH WATER ST 1 3,1006,Retail Food Establishment,41.88663352,-87.61741342,grocery store,170313201004007,320100,4007
85809,2135048,5341,K C I ENTERPRISE-1 INC,LIFESTYLES TUCK SHOP,127 N DEARBORN ST  LOBBY,1006,Retail Food Establishment,41.88382421,-87.62928951,grocery store,170318391001067,839100,1067
78620,1307897,10142,HANK GREENBERG WHOLESALE INC,OLD CHICAGO SMOKE SHOP,10 S LA SALLE ST,1006,Retail Food Establishment,41.88167476,-87.63250419,grocery store,170318391001070,839100,1070
94452,1410360,17344,LEONIDAS (CHICAGO) INC,LEONIDAS,231 S LA SALLE ST  1,1006,Retail Food Establishment,41.87854293,-87.63212058,grocery store,170318391001098,839100,1098
92175,2136435,298924,"PANDA EXPRESS, INC.",PANDA EXPRESS #299,77 E ADAMS ST,1006,Retail Food Establishment,41.87943624,-87.62485436,grocery store,170313204001014,320400,1014
90167,2046484,314923,"PARI, INC.",GATEWAY NEWSTAND,222 S RIVERSIDE PLZ 1ST 160,1006,Retail Food Establishment,41.87858156,-87.63857867,grocery store,170312819001001,281900,1001
87766,1897781,310700,TAYLOR MADE PIZZA INC.,TAYLOR MADE PIZZA,1220 W TAYLOR ST,1006,Retail Food Establishment,41.86951346,-87.65755262,grocery store,170312832001009,283200,1009
32768,2506803,412705,"70 RESTAURANT GROUP, INC.",STOCK AND LEDGER,70 W MADISON ST,1006,Retail Food Establishment,41.88209337,-87.63039165,grocery store,170318391001076,839100,1076
66934,1244371,9422,MORTLEV COMPANY,KHYBER PASS,233 E WACKER DR,1477,Outdoor Patio,41.88779017,-87.62127871,restaurant,170313201002018,320100,2018
70368,2135674,63559,JAYESH PATEL & MANU PATEL,111 CONCESSION SHOP,111 W WASHINGTON ST  1,1006,Retail Food Establishment,41.88310096,-87.63126322,grocery store,170318391001064,839100,1064
41175,2580295,64931,BB5 LLC,BURRITO BEACH,19 S LA SALLE ST GROUND,1006,Retail Food Establishment,41.88141901,-87.63220321,grocery store,170318391001069,839100,1069
95526,1808939,37442,"CROWN CORNED BEEF AND FOODS, INC.",CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,1007,Wholesale Food Establishment,41.88802499,-87.66537133,grocery store,170318330002004,833000,2004
17018,1523955,16473,BOCKWINKEL'S FRESH EXPRESS,BOCKWINKEL'S,155 N HARBOR DR 1ST,1781,Tobacco,41.88475054,-87.61560396,restaurant,170313201004020,320100,4020
75233,1685536,21847,"JOHNNY'S ICE HOUSE, INC.",JOHNNY'S ICE HOUSE,1350 W MADISON ST 1ST,1006,Retail Food Establishment,41.88165389,-87.66160473,grocery store,170318330002099,833000,2099
67133,1370015,63927,PEPI CORPORATION,ALONTI DELI,401 S LA SALLE ST 1ST,1006,Retail Food Establishment,41.87681397,-87.63162266,grocery store,170318391002021,839100,2021
17094,2268608,364248,"OM SHREE SAI RAM, INC.",GATEWAY NEWSTAND,180 N LA SALLE ST 1ST 108,1781,Tobacco,41.88544439,-87.63258214,restaurant,170318391001034,839100,1034
67578,1880572,15538,TARGET CORPORATION,TARGET STORE # 1889,1154 S CLARK ST,1006,Retail Food Establishment,41.86757102,-87.63058647,grocery store,170318390002000,839000,2000
79378,1956305,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE #221,400 W MADISON ST  TWO N,1006,Retail Food Establishment,41.88200786,-87.6382454,grocery store,170312801002026,280100,2026
23500,1589848,263501,"MY MANAGEMENT, INC.",JACKSON & MORGAN SHELL,1001 W JACKSON BLVD,1781,Tobacco,41.877757200000005,-87.65203742,restaurant,170318331002016,833100,2016
80179,1626794,19165,"415 SOUTH DEARBORN, INC.",MANHATTAN'S ON DEARBORN,415 S DEARBORN ST  #4,1470,Tavern,41.87651625,-87.62910663,restaurant,170318391002024,839100,2024
70268,1633850,64451,"CONGRESS PLAZA HOTEL, LLC",THE CONGRESS HOTEL,520 S MICHIGAN AVE,1006,Retail Food Establishment,41.87525983,-87.62439667,grocery store,170313204001040,320400,1040
93745,2069246,358271,"RIVERSIDE ENTERPRISES, LLC",BOSTON BLACKIE'S OF RIVERSIDE,120 S RIVERSIDE PLZ 1,1006,Retail Food Establishment,41.87992331,-87.63880254,grocery store,170312819003005,281900,3005
79238,2019613,265942,"POTTER'S BAR PALMER HOUSE, LLC",POTTER'S,17 E MONROE ST 2,1006,Retail Food Establishment,41.88066458,-87.62708936,grocery store,170313204001011,320400,1011
95114,2125009,8970,"COMPASS GROUP USA, INC.",CLIENT DINING ROOM,10 S DEARBORN ST 57TH,1006,Retail Food Establishment,41.88180696,-87.62954312,grocery store,170318391001077,839100,1077
31010,2536454,417639,201 MADISON GLP INC,DUNKIN DONUTS,201 W MADISON ST,1006,Retail Food Establishment,41.88183547,-87.63389739,grocery store,170318391001071,839100,1071
83602,1634756,85754,GIORDANOS ENTERPRISES INC,GIORDANO'S RESTAURANT & PIZZ,815 W VAN BUREN ST,1006,Retail Food Establishment,41.87655166,-87.6478697,grocery store,170318419001012,841900,1012
87333,2444699,263535,"DELMONICO CHICAGO, INC.",DELMONICO,111 W WASHINGTON ST  L9,1006,Retail Food Establishment,41.88310096,-87.63126322,grocery store,170318391001064,839100,1064
82040,1683366,3760,DAILY MEAT SUPPLY INC,DAILY MEAT SUPPLY INC,948 W FULTON MARKET,1007,Wholesale Food Establishment,41.88685479,-87.65176775,grocery store,170318330001009,833000,1009
91538,2455544,322104,"SUSHI PINK, INC.",SUSHI PINK,909 W WASHINGTON BLVD 1,1006,Retail Food Establishment,41.88298732,-87.65014023,grocery store,170318330001068,833000,1068
70992,1746171,14389,"THE SNUGGERY AT UNION STATION, INC.",Snuggery Saloon & Dining Room,225 S CANAL ST,1006,Retail Food Establishment,41.87853128,-87.63942746,grocery store,170312819001001,281900,1001
90039,2174826,298727,CBC RESTAURANT CORP.,CORNER BAKERY CAFE,56 W RANDOLPH ST,1006,Retail Food Establishment,41.88459084,-87.62999749,grocery store,170318391001036,839100,1036
42960,2580434,205144,"HILTON ILLINOIS, LLC",Palmer House Hilton,17 E MONROE ST,1006,Retail Food Establishment,41.88066458,-87.62708936,grocery store,170313204001011,320400,1011
90896,2419233,400469,"JK SHIELDS, LLC",SMYTH THE LOYALIST,177 N ADA ST 1ST 101,1006,Retail Food Establishment,41.88521738,-87.66061489,grocery store,170318330002052,833000,2052
68556,2384577,379905,RADHA NEWSTAND INC.,GATEWAY NEWSTAND,525 W VAN BUREN ST 1ST 106,1006,Retail Food Establishment,41.87664684,-87.64069512,grocery store,170318419001003,841900,1003
81156,2315712,15482,AL'S #1 ITALIAN BEEF INC,AL'S ITALIAN BEEF INC,1079 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.86934859,-87.6541691,grocery store,170318333001026,833300,1026
69569,1275503,9630,M DODAS ENTERPRISES,T & S PRODUCE,900 W RANDOLPH ST  1ST,1006,Retail Food Establishment,41.88447619,-87.64983293,grocery store,170318330001031,833000,1031
95151,1428882,22098,RICE FIELDS ADAMS INC,RICE FIELDS,318 W ADAMS ST,1006,Retail Food Establishment,41.879472799999995,-87.63580748,grocery store,170318391002001,839100,2001
95484,2139948,218952,"SOUTH WABASH CVS, L.L.C.",CVS/PHARMACY #3674,105 S WABASH AVE 1,1006,Retail Food Establishment,41.8806365,-87.62602053,grocery store,170313204001012,320400,1012
78761,2052239,283130,"JBS RESTAURANT,LTD",TRATTORIA CATERINA,614-618 S DEARBORN ST,1006,Retail Food Establishment,41.8742654,-87.62935646,grocery store,170318390004002,839000,4002
67990,1919276,294206,"RIVER NORTH TAP, INC.",Sidebar,221 N LA SALLE ST,1006,Retail Food Establishment,41.88630857,-87.63231876,grocery store,170318391001017,839100,1017
72127,2020748,349065,"DAVE'S CONFECTIONARY INC.,",DAVE'S CONFECTIONERY,55 E JACKSON BLVD 1,1006,Retail Food Establishment,41.87814786,-87.62557274,grocery store,170313204001018,320400,1018
72990,1895383,11696,"NICHOLAS QUALITY MEATS, INC.",NICHOLAS QUALITY MEATS,908 W RANDOLPH ST 1ST,1006,Retail Food Establishment,41.88447026,-87.65018387,grocery store,170318330001031,833000,1031
25558,2477464,3206,"SCHERMERHORN CIGAR STORES, INC.",Chicago News Now #1629,222 S RIVERSIDE PLZ CONCOURSE LEVEL  BLDG 01,1781,Tobacco,41.87858156,-87.63857867,restaurant,170312819001001,281900,1001
25504,1693268,286648,"TARLA, INC",RIVER CITY CONVENIENCE,800 S WELLS ST  M60,1781,Tobacco,41.87208635,-87.63371847,restaurant,170318390002001,839000,2001
94734,2024895,282904,CHED PARTNERS INC,SUBWAY,1501 W MADISON ST,1006,Retail Food Establishment,41.88137665,-87.66449649,grocery store,170318331003011,833100,3011
81561,2022947,7551,"BOND DRUG COMPANY OF ILLINOIS, LLC",WALGREENS #1332,300 N MICHIGAN AVE 1ST,1006,Retail Food Establishment,41.8868758,-87.62468519,grocery store,170313201002015,320100,2015
26048,1917192,17541,KALIKA CORP,LASALLE LOBBY SHOP,221 N LA SALLE ST 1ST,1781,Tobacco,41.88630857,-87.63231876,restaurant,170318391001017,839100,1017
77142,2143659,23999,CALS 400 LIQUOR INC,"CAL'S 400 LIQUORS, INC.",400 S WELLS ST 1ST,1006,Retail Food Establishment,41.87678483,-87.63383891,grocery store,170318391002016,839100,2016
12763,1812577,219101,ZUL DISCOUNT INC,R & R TOBACCO STORE,190 S LA SALLE ST,1006,Retail Food Establishment,41.87943076,-87.63243937,grocery store,170318391001095,839100,1095
88585,1682995,260,LUPE INC,LUPE INC,1074 W TAYLOR ST 1ST,1006,Retail Food Establishment,41.86957096,-87.65400921,grocery store,170318333001034,833300,1034
22730,1505271,62856,KANTILAL R PITHADIA,KANTI TOBACCO & GIFT INC,8 W LAKE ST  1ST,1781,Tobacco,41.88586141,-87.62823734,restaurant,170318391001021,839100,1021
84411,1956413,63414,STARBUCKS CORPORATION,STARBUCKS COFFEE,100 S WACKER DR  MAIN,1006,Retail Food Establishment,41.88055703,-87.63713178,grocery store,170318391002003,839100,2003
9074,1436865,211975,BIG SHOULDER ENTERPRISES,DELICATEZZA,186 N WELLS ST 1ST,1006,Retail Food Establishment,41.88545388,-87.634069,grocery store,170318391001033,839100,1033
74558,1897469,291158,AHN CORPORATION,MORGAN STREET CAFE,111 S MORGAN ST,1006,Retail Food Establishment,41.88004797,-87.65183157,grocery store,170318331001018,833100,1018
75437,1944925,63300,"SODEXO MANAGEMENT, INC.",NORTHERN TRUST BANK II,801 S CANAL ST 1ST,1006,Retail Food Establishment,41.87199613,-87.63920429,grocery store,170318419002001,841900,2001
16427,2347436,355964,"PRET A MANGER (USA), LIMITED",Pret a Manger,1 S STATE ST 1ST,1006,Retail Food Establishment,41.881995200000006,-87.62764725,grocery store,170313204001010,320400,1010
78878,1860708,250453,"JJM DEVELOPMENT, LLC",CITY TAVERN CHICAGO,1416-1418 S MICHIGAN AVE,1006,Retail Food Establishment,41.86357752,-87.62421512,grocery store,170313301003009,330100,3009
82788,1692190,267891,FAZAL DEVELOPMENT NETWORK INC,SUBWAY #25917,122 S MICHIGAN AVE,1006,Retail Food Establishment,41.88026337,-87.62450498,grocery store,170313204001013,320400,1013
70228,1889350,8970,"COMPASS GROUP USA, INC.",Madison Street Cafe,70 W MADISON ST LL1,1006,Retail Food Establishment,41.88209337,-87.63039165,grocery store,170318391001076,839100,1076
85181,1293773,86795,PURVI INC,PURVI INC,100 S WACKER DR LOBBY,1006,Retail Food Establishment,41.88055703,-87.63713178,grocery store,170318391002003,839100,2003
82514,1581062,5033,"DOMINICK'S FINER FOODS, LLC",DOMINICK'S #147/1147,1340 S CANAL ST 1ST,1474,Package Goods,41.86452119,-87.6393041,grocery store,170318419002092,841900,2092
90375,1480762,3696,TOMISLAV LAZAREVSKI,EXPRESS GRILL,1236 S UNION AVE,1006,Retail Food Establishment,41.86604949,-87.64522489,grocery store,170318419002043,841900,2043
25690,1281940,16343,TRANS PACIFIC STORES LIMITED,RUSSELL'S #669,205 N MICHIGAN AVE 1ST,1781,Tobacco,41.88590606,-87.62437184,restaurant,170313201002030,320100,2030
86669,2173942,86084,APEX RESTAURANT DEVELOPMENT CORPORATION  II,GOLD COAST DOGS,225 S CANAL ST  MEZZA,1006,Retail Food Establishment,41.87853128,-87.63942746,grocery store,170312819001001,281900,1001
25102,1530176,52064,KANTILAL M PATEL,RIVERSIDE NEWS STAND,120 S RIVERSIDE PLZ  1ST,1781,Tobacco,41.87992331,-87.63880254,restaurant,170312819003005,281900,3005
72709,1241721,85690,THE STANDARD CLUB,THE STANDARD CLUB,320 S PLYMOUTH CT,1006,Retail Food Establishment,41.87758853,-87.62888073,grocery store,170318391001102,839100,1102
68384,1405751,3644,ANGELA MITCHELL,ARTIST'S SNACK SHOP,412 S MICHIGAN AVE,1006,Retail Food Establishment,41.87666158,-87.62442805,grocery store,170313204001032,320400,1032
4102,2485078,63726,OAK GINO'S INC.,GINO'S EAST OF CHICAGO,521 S DEARBORN ST,1006,Retail Food Establishment,41.87523756,-87.62907785,grocery store,170318391002046,839100,2046
17389,1415434,48042,"DISHA, INC.",GATEWAY NEWSTAND,231 S LA SALLE ST  1,1781,Tobacco,41.87854293,-87.63212058,restaurant,170318391001098,839100,1098
77678,1174421,7066,GEMELIO INC,RICOBENE'S,60 E LAKE ST,1006,Retail Food Establishment,41.88583845,-87.62584165,grocery store,170313201002022,320100,2022
19899,1864737,292332,IBRAHIM M. SYED,SYED' STORE,180 N WABASH AVE,1781,Tobacco,41.8853537,-87.62641329,restaurant,170313201002024,320100,2024
76138,1485518,67871,"SOL CAFE, INC.",CROCODILE LOUNGE,221 W VAN BUREN ST  1ST,1006,Retail Food Establishment,41.8767277,-87.63432175,grocery store,170318391002016,839100,2016
23645,2048075,351456,"MID CITY CARDS AND GIFTS 4, INC.",MID-CITY CARDS & GIFTS,101 N WACKER DR LOBBY,1781,Tobacco,41.88323435,-87.63664906,restaurant,170318391001050,839100,1050
89919,1275349,65957,SHARLENE BERGAN,SEATTLE SUTTON,1130 S WABASH AVE  107,1006,Retail Food Establishment,41.86831969,-87.62599043,grocery store,170313206001010,320600,1010
23629,2018334,19902,CHETAN C JOSHI,C & B TABBACO,29 S LA SALLE ST  LOBBY,1781,Tobacco,41.88115309,-87.63219570000001,restaurant,170318391001068,839100,1068
73427,1524910,21408,MAO INC.,WABASH TAP,1233 S WABASH AVE 1ST,1006,Retail Food Establishment,41.8665204,-87.6256632,grocery store,170313301001003,330100,1003
74094,1253809,21619,BAB OPERATIONS INC,JACOBS BROS. BAGELS,53 W JACKSON BLVD 1ST,1006,Retail Food Establishment,41.87805068,-87.62978101,grocery store,170318391001104,839100,1104
40759,2581383,318860,"RED DOLPHIN ENTERPRISES, LLC",BRANDO'S,343 S DEARBORN ST,1006,Retail Food Establishment,41.87714679,-87.62912123,grocery store,170318391001102,839100,1102
74663,1279933,7028,"MARS & MARS COMPANY, INC.",ALCOCK'S,411 S WELLS ST 1ST,1470,Tavern,41.8765621,-87.63353978,restaurant,170318391002018,839100,2018
77965,1090674,86332,LAKSHI INC,MJ'S CARLTON CARDS & GIFTS,216 W JACKSON BLVD  LOBBY,1006,Retail Food Establishment,41.87822324,-87.63424738,grocery store,170318391002008,839100,2008
88907,2269625,374340,JAY MADI INC.,SUBWAY,1525 W MADISON ST 1ST,1006,Retail Food Establishment,41.88135674,-87.66549935,grocery store,170318331003011,833100,3011
76242,1487939,272878,"BESPOKE CUISINE, INC.","BESPOKE CUISINE, INC.",1358 W RANDOLPH ST,1006,Retail Food Establishment,41.88429171,-87.66106144,grocery store,170318330002038,833000,2038
87658,2455577,326538,"SHAHZAD TRENDZ, INC.",7-ELEVEN # 33731,954 W MONROE ST,1006,Retail Food Establishment,41.88052217,-87.65185446,grocery store,170318331001006,833100,1006
32963,2144994,281700,"BLOCKS 24 HR CHILDCARE CENTER, INC.",Blocks Infant Toddler Childcare Center,657 S WELLS ST,1585,Day Care Center Under 2 Years,41.87340849,-87.63345761,school,170318390001005,839000,1005
21948,1487078,252407,"AMRUT-LILA ENTERPRISES, L.L.C.",GATEWAY NEWSTAND,114 S DEARBORN ST,1781,Tobacco,41.88028473,-87.62951121,restaurant,170318391001088,839100,1088
90715,1520526,281839,"832 RANDOLPH, INC.",DRAGONFLY MANDARIN,832 W RANDOLPH ST,1006,Retail Food Establishment,41.88449669,-87.64866551,grocery store,170318330001030,833000,1030
