ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1193140-20031116,1437528,219782,1,CLANTON INVESTMENT & PROPERTY MANAGEMENT INC.,CLANTON INVESTMENT & PROPERTY MANAGEMENT INC.,1341 S CLARK ST,CHICAGO,IL,60605,3,22,3-22,1,1012,Home Occupation,,,1193140,RENEW,,09/26/2003,11/05/2003,N,11/16/2003,11/15/2004,11/05/2003,11/06/2003,AAC,11/10/2004,,41.864593905,-87.630181649,"(41.86459390526857, -87.63018164943286)"
23060-20110416,2081225,63414,25,STARBUCKS CORPORATION,STARBUCKS COFFEE #2226,66 W WASHINGTON ST  PEDWA,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,23060,RENEW,,02/15/2011,03/28/2011,N,04/16/2011,04/15/2013,03/28/2011,04/07/2011,AAC,08/31/2012,,41.883320033,-87.63030327,"(41.88332003340497, -87.63030327049952)"
3080-20020816,1250452,2799,1,FLORAL EXHIBITS LIMITED,FLORAL EXHIBITS LTD,1325 W RANDOLPH ST,CHICAGO,IL,60607,27,7,27-7,12,1010,Limited Business License,,,3080,RENEW,,06/28/2002,08/01/2002,N,08/16/2002,08/15/2003,08/01/2002,08/07/2002,AAC,08/14/2003,,41.88408814,-87.659872222,"(41.8840881399805, -87.65987222180725)"
1879334-20120416,2140610,325015,1,JAE S. LEE,GRANT PARK CLEANERS,310 S MICHIGAN AVE 1ST,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,1879334,RENEW,,02/17/2012,05/22/2012,N,04/16/2012,04/15/2014,05/22/2012,05/22/2012,AAC,07/03/2013,,41.877987807,-87.624459801,"(41.8779878069696, -87.62445980070322)"
1046796-20020816,1266186,203947,1,"BRIAN HALL, INC","BRIAN HALL, INC",850 W JACKSON BLVD,CHICAGO,IL,60607,25,6,25-6,12,1010,Limited Business License,,,1046796,RENEW,,06/28/2002,08/31/2002,N,08/16/2002,08/15/2003,10/11/2002,10/15/2002,AAC,04/02/2003,,41.87802578,-87.649239948,"(41.878025780212944, -87.64923994797402)"
1594802-20140316,2305741,52025,3,HOWARD S CHENG,HOWARD JEWELRY COMPANY,55 E WASHINGTON ST  439,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,1594802,RENEW,,01/15/2014,02/25/2014,N,03/16/2014,03/15/2016,02/25/2014,02/26/2014,AAC,05/18/2015,,41.883111687,-87.625850989,"(41.88311168664746, -87.62585098919836)"
25836-20021116,1285754,30402,2,HARBOUR CONTRACTORS INC,HARBOUR CONTRACTORS INC,130 E RANDOLPH ST  CL 16,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,25836,RENEW,,09/24/2002,,N,11/16/2002,11/15/2003,11/04/2002,11/05/2002,AAC,01/02/2003,,41.884588372,-87.623272561,"(41.884588371969095, -87.62327256105529)"
15173-20041116,1529975,51116,3,VENDING CONSULTANTS INC,COLUMBIA COLLEGE,623 S WABASH AVE,CHICAGO,IL,60605,42,49,42-49,1,1006,Retail Food Establishment,,,15173,RENEW,,09/27/2004,11/15/2004,N,11/16/2004,11/15/2005,11/15/2004,11/16/2004,AAC,11/04/2005,,41.873908456,-87.625837706,"(41.87390845559158, -87.62583770570953)"
1244124-20051116,1637711,246064,1,ACTIV FINANCIAL SYSTEMS INC,"ACTIV FINANCIAL SYSTEMS, INC",205 W WACKER DR  516,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1244124,RENEW,,09/22/2005,11/01/2005,N,11/16/2005,11/15/2006,11/01/2005,11/02/2005,AAC,10/30/2006,,41.886707304,-87.634150393,"(41.886707304096035, -87.63415039321221)"
2048464-20121216,2195479,355131,1,WINNERS EDGE FUEL SERVICE LLC,WINNERS EDGE MARATHON,1121 S JEFFERSON ST 1,CHICAGO,IL,60607,25,28,25-28,1,1275,Filling Station,666,Operation of a Fuel Filling Station,2048464,RENEW,,10/15/2012,12/10/2012,N,12/16/2012,12/15/2014,12/10/2012,12/11/2012,AAC,08/07/2014,,41.86833974,-87.642079022,"(41.868339739959254, -87.64207902215215)"
2017223-20120516,2143057,1928,1,COOK DUPAGE TRANSPORTATION INC,COOK-DUPAGE TRANSPORTATION INC,1200 W FULTON MARKET,CHICAGO,IL,60607,27,33,27-33,12,1008,Hazardous Materials,,,2017223,RENEW,,03/15/2012,04/03/2012,N,05/16/2012,05/15/2014,04/03/2012,04/04/2012,AAC,12/29/2012,,41.886785025,-87.656942095,"(41.886785024700785, -87.65694209546207)"
13659-20120516,2144467,86630,1,"LEE'S FOREIGN CAR SERVICE, INC.",LEE'S FOREIGN CAR SER INC,727 S JEFFERSON ST,CHICAGO,IL,60607,25,28,25-28,1,1571,"Tire Facilty Class I (100 - 1,000 Tires)",,,13659,RENEW,,03/15/2012,04/09/2012,N,05/16/2012,05/15/2014,04/09/2012,04/10/2012,AAC,12/29/2012,,41.872769646,-87.642226571,"(41.872769646119295, -87.6422265708572)"
1819994-20120416,2139566,57977,5,LEAGUE OF CHICAGO THEATRES,RANDOLPH HOT TIX,72 E RANDOLPH ST 1,CHICAGO,IL,60601,42,9,42-9,1,1133,Broker,,,1819994,RENEW,,02/17/2012,03/21/2012,N,04/16/2012,04/15/2014,03/21/2012,03/22/2012,AAC,06/21/2012,,41.884607839,-87.625245448,"(41.8846078392102, -87.62524544800738)"
1480032-20070216,1788563,257649,5,"BUDGET RENT A CAR SYSTEM, INC.","BUDGET RENT A CAR SYSTEM, INC.",65 E LAKE ST,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1480032,RENEW,,12/20/2006,01/06/2007,N,02/16/2007,01/15/2008,01/06/2007,01/08/2007,AAC,02/28/2007,,41.885620467,-87.625683109,"(41.88562046717272, -87.62568310901145)"
1743197-20100416,2020123,309089,1,"FFT@SEYFARTH,LLC","FFT@SEYFARTH,LLC",131 S DEARBORN ST 24 2400,CHICAGO,IL,60603,42,9,42-9,1,1006,Retail Food Establishment,,,1743197,RENEW,,02/11/2010,04/08/2010,N,04/16/2010,04/15/2012,04/08/2010,04/09/2010,AAC,02/03/2012,1,41.87988544,-87.629211595,"(41.87988544030099, -87.62921159480324)"
1800601-20120416,2140520,313964,1,"NORIN, INC.",TREAT SHOP,111 W JACKSON BLVD 1,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,1800601,RENEW,,02/17/2012,03/23/2012,N,04/16/2012,04/15/2014,03/23/2012,03/26/2012,AAC,08/06/2012,,41.878034428,-87.631171407,"(41.87803442833617, -87.63117140697915)"
1196270-20110416,2081321,63414,87,STARBUCKS CORPORATION,STARBUCKS COFFEE #2565,550 W VAN BUREN ST,CHICAGO,IL,60607,42,12,42-12,1,1010,Limited Business License,,,1196270,RENEW,,02/15/2011,03/28/2011,N,04/16/2011,04/15/2013,03/28/2011,04/07/2011,AAC,08/31/2012,,41.87685514,-87.641544074,"(41.876855139603904, -87.6415440740816)"
1000686-20121016,2180975,57945,3,STYLING STUDIO INC,Styling Studio II,1518 S WABASH AVE  1-N,CHICAGO,IL,60605,3,63,3-63,1,1010,Limited Business License,,,1000686,RENEW,,08/15/2012,10/15/2012,N,10/16/2012,10/15/2014,10/15/2012,05/24/2013,AAC,07/15/2013,,41.861372981,-87.625837172,"(41.86137298149435, -87.6258371724536)"
29951-20030816,1364149,31457,1,ASHLAND DEVELOPER GROUP,NEW WEST REALTY INC,1440 W TAYLOR ST 1ST,CHICAGO,IL,60607,28,26,28-26,12,1010,Limited Business License,,,29951,RENEW,,06/24/2003,08/14/2003,N,08/16/2003,08/15/2004,08/14/2003,08/15/2003,AAC,08/10/2004,,41.869423354,-87.663271897,"(41.869423354147315, -87.66327189703928)"
1547495-20110316,2076638,86522,26,"ARAMARK SERVICES, INC",ARAMARK,21 S CLARK ST,CHICAGO,IL,60603,42,9,42-9,1,1006,Retail Food Establishment,,,1547495,RENEW,,01/14/2011,03/08/2011,N,03/16/2011,03/15/2013,03/08/2011,03/08/2011,AAC,11/18/2011,,41.881434313,-87.630720377,"(41.88143431313232, -87.63072037749313)"
70558-20080316,1885919,45100,1,G & M JEWELRY SERVICE,G&M JEWELRY,2 N WABASH AVE  1FR,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,70558,RENEW,,01/22/2008,04/02/2008,N,03/16/2008,03/15/2010,04/02/2008,04/03/2008,AAC,03/10/2010,1,41.882134554,-87.626363303,"(41.882134553788454, -87.62636330336257)"
1244262-20110616,2089649,5041,10,"AVIS RENT A CAR SYSTEM, LLC",AVIS RENT A CAR SYSTEMS INC,214 N CLARK ST,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1244262,RENEW,,04/15/2011,06/13/2011,N,06/16/2011,06/15/2013,06/13/2011,06/14/2011,AAC,12/29/2012,,41.886150771,-87.631133872,"(41.88615077117576, -87.6311338716166)"
7415-20120516,2143094,3831,1,LYON & HEALY HARPS INC,LYON & HEALY HARPS INC,168 N OGDEN AVE 1ST,CHICAGO,IL,60607,27,33,27-33,12,1010,Limited Business License,,,7415,RENEW,,03/15/2012,05/02/2012,N,05/16/2012,05/15/2014,05/02/2012,05/03/2012,AAC,10/15/2012,,41.884784268,-87.663204018,"(41.88478426842975, -87.66320401776035)"
1959914-20090311,1959914,341527,1,MAVEN WAVE PARTNERS LLC,Maven Wave Partners,225 W WASHINGTON ST 12 1285,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1959914,ISSUE,,03/10/2009,03/10/2009,N,03/11/2009,09/15/2010,03/10/2009,03/11/2009,AAC,05/27/2010,,41.883099158,-87.634600363,"(41.88309915782265, -87.63460036317278)"
52373-20071116,1851383,17632,1,SYSTEM DEVEL INTEGRATION INC,SYSTEM DEVEL INTEGRATION INC,180 N LA SALLE ST  1500,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,52373,RENEW,,09/21/2007,10/30/2007,N,11/16/2007,09/15/2008,10/30/2007,10/31/2007,AAC,08/18/2008,,41.885444388,-87.632582135,"(41.8854443881431, -87.6325821348462)"
1335520-20120516,2144743,259664,1,DAVIDSON HOTEL COMPANY,MARIOTT CHICAGO at MEDICAL DISTRICT/ UIC,625 S ASHLAND AVE,CHICAGO,IL,60607,28,21,28-21,12,1370,Hotel,,,1335520,RENEW,,03/15/2012,05/03/2012,N,05/16/2012,05/15/2014,05/03/2012,05/04/2012,AAC,12/29/2012,,41.873434566,-87.666433681,"(41.87343456580039, -87.66643368144297)"
1797919-20080916,1919719,312871,1,BANDY L AGUILAR,IMPERIAL SHOE CRAFTERS,70 E LAKE ST 1,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1797919,RENEW,,07/15/2008,09/09/2008,N,09/16/2008,09/15/2010,09/09/2008,09/09/2008,AAC,09/14/2010,,41.885842254,-87.625454996,"(41.88584225386183, -87.62545499553204)"
9534-20031116,1406529,5012,4,"INITIAL TROPICAL PLANTS, INC.",RENTOKIL - CHICAGO,203 N WABASH AVE  400,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,9534,RENEW,,09/26/2003,11/17/2003,N,11/16/2003,05/15/2004,11/17/2003,11/18/2003,AAC,03/30/2004,,41.885828293,-87.626138262,"(41.885828292802344, -87.62613826248786)"
1474830-20041116,1540335,272533,1,LSR MANAGEMENT INC,SUBWAY STORE #24265,1300 S WABASH AVE,CHICAGO,IL,60605,3,55,3-55,1,1006,Retail Food Establishment,,,1474830,RENEW,,09/27/2004,10/25/2004,N,11/16/2004,11/15/2005,11/30/2004,12/01/2004,AAC,04/11/2005,,41.865675872,-87.625943531,"(41.8656758723776, -87.625943531346)"
54991-20030816,1365729,39336,1,KONSTANTINOS KATSABANIS,DORION FOOD SERVICE,1042 W LAKE ST  1,CHICAGO,IL,60607,27,7,27-7,12,1007,Wholesale Food Establishment,,,54991,RENEW,,06/24/2003,07/16/2003,N,08/16/2003,08/15/2004,07/16/2003,07/17/2003,AAC,08/19/2003,,41.885665271,-87.653804962,"(41.88566527126362, -87.65380496232846)"
80166-20020816,1263559,65365,1,MK BRODY CO INC,MK BRODY CO INC,1101 W RANDOLPH ST 1ST,CHICAGO,IL,60607,27,7,27-7,12,1010,Limited Business License,,,80166,RENEW,,06/28/2002,07/26/2002,N,08/16/2002,08/15/2003,07/26/2002,07/26/2002,AAC,07/30/2003,,41.884173412,-87.654491108,"(41.8841734123248, -87.65449110825647)"
1381318-20111116,2117703,265772,1,BIG SHOULDERS FUND,BIG SHOLDERS FUND,309 W WASHINGTON ST,CHICAGO,IL,60606,42,9,42-9,1,1625,Raffles,,,1381318,RENEW,,09/15/2011,11/03/2011,N,11/16/2011,11/15/2012,11/03/2011,11/04/2011,AAC,04/19/2012,,41.883094603,-87.635632661,"(41.88309460284483, -87.63563266074925)"
2079861-20110215,2079861,359753,1,PANTHEON VENTURES (US) LP,PANTHEON VENTURES (US) LP,10 S WACKER DR 22 2250,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,2079861,ISSUE,02/10/2011,02/15/2011,02/15/2011,N,02/15/2011,03/15/2013,02/15/2011,02/15/2011,AAC,06/08/2012,,41.881722457,-87.637163618,"(41.881722456809335, -87.63716361820067)"
1948-20041116,1531507,62544,16,HYATT CORPORATION,HYATT ON PRINTER'S ROW,500-538 S DEARBORN ST  PRAIR,CHICAGO,IL,60605,4,49,4-49,1,1370,Hotel,,,1948,RENEW,,09/27/2004,11/10/2004,N,11/16/2004,11/15/2005,11/10/2004,11/10/2004,AAC,01/14/2005,,41.87556911,-87.629383226,"(41.87556910960446, -87.62938322586831)"
1892575-20100916,2047132,328016,1,"RAIL-SPLITTER CAPITAL MANAGEMENT, LLC","RAIL-SPLITTER CAPITAL MANAGEMENT, LLC",20 N WACKER DR 41 4120,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1892575,RENEW,,07/15/2010,08/26/2010,N,09/16/2010,09/15/2012,08/26/2010,08/27/2010,AAC,04/06/2011,,41.882410906,-87.63717471,"(41.88241090648542, -87.63717471046387)"
1597261-20050607,1597261,292296,1,OMNICEL COMMUNICATIONS,OMNICEL COMMUNCIATIONS,1043 W MADISON ST,CHICAGO,IL,60607,25,16,25-16,12,1010,Limited Business License,,,1597261,ISSUE,06/06/2005,06/06/2005,06/06/2005,N,06/07/2005,05/15/2006,06/06/2005,06/07/2005,AAC,05/04/2006,,41.881571873,-87.6537426,"(41.88157187278317, -87.65374260027228)"
39201-20070516,1808667,33883,1,SHEAR PLEASURE LIMITED,SHEAR PLEASURE LTD,29 E MADISON ST  1,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,39201,RENEW,,03/23/2007,05/12/2007,N,05/16/2007,03/15/2008,05/12/2007,05/14/2007,AAC,07/23/2007,1,41.88196533,-87.626793222,"(41.881965330252534, -87.62679322159418)"
2134111-20120306,2134111,368725,1,"LABC, LLC - 9TH & STATE",LA BOXING,890 S STATE ST 1ST,CHICAGO,IL,60605,4,43,4-43,1,1010,Limited Business License,,,2134111,ISSUE,12/30/2011,03/02/2012,03/02/2012,N,03/06/2012,03/15/2014,03/02/2012,03/06/2012,AAC,07/12/2013,,41.870688568,-87.627644378,"(41.87068856814931, -87.62764437824482)"
1887411-20080222,1887411,326573,2,"EXELON BUSINESS SERVICES COMPANY, LLC","EXELON BUSINESS SERVICES COMPANY, LLC",135 S FRANKLIN ST 9TH FLOOR 900,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1887411,ISSUE,01/23/2008,02/21/2008,02/21/2008,N,02/22/2008,04/15/2010,02/21/2008,02/22/2008,AAC,03/08/2010,,41.879801668,-87.635103711,"(41.87980166790589, -87.6351037111932)"
30260-20030516,1339313,2156,19,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #5191,174 N WABASH AVE 1ST,CHICAGO,IL,60601,42,9,42-9,1,1006,Retail Food Establishment,,,30260,RENEW,,03/25/2003,05/13/2003,N,05/16/2003,05/15/2004,05/16/2003,06/02/2003,AAC,02/19/2004,1,41.885236066,-87.626413614,"(41.88523606595415, -87.62641361408292)"
1922391-20100916,2047472,335687,1,LAMBDA CORE LLC,LAMBDA CORE LLC,450 E WATERSIDE DR 5TH 603,CHICAGO,IL,60601,42,51,42-51,1,1012,Home Occupation,,,1922391,RENEW,,07/15/2010,07/19/2010,N,09/16/2010,09/15/2012,07/19/2010,07/20/2010,AAC,12/31/2012,,41.887054336,-87.61546865,"(41.88705433554247, -87.61546864991557)"
2129983-20111206,2129983,368235,1,"KARAT JEWELRY GROUP, INC.",KARAT JEWELRY GROUP,3 S WABASH AVE 1ST,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,2129983,ISSUE,12/06/2011,12/06/2011,12/06/2011,N,12/06/2011,12/15/2013,12/06/2011,12/06/2011,AAC,07/30/2013,,41.881969403,-87.626064554,"(41.881969402833036, -87.62606455373546)"
1248143-20080416,1890429,86190,3,"GALAXIE FINANCIAL GROUP, INC.","G F G, Inc.",140 S DEARBORN ST 3 320,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,1248143,RENEW,,02/19/2008,04/14/2008,N,04/16/2008,04/15/2010,04/14/2008,04/15/2008,AAC,10/04/2008,,41.87967604,-87.629502283,"(41.87967604011696, -87.62950228266759)"
69026-20051116,1627038,21100,1,"RIVER NORTH CATERING, INC",THE COFFEE GROUNDS,203 N WABASH AVE,CHICAGO,IL,60601,42,9,42-9,1,1006,Retail Food Establishment,,,69026,RENEW,,09/22/2005,10/21/2005,N,11/16/2005,11/15/2006,10/21/2005,10/24/2005,AAC,03/27/2006,,41.885828293,-87.626138262,"(41.885828292802344, -87.62613826248786)"
1678044-20110216,2071292,86298,12,"WHOLE FOODS MARKET GROUP, INC.",WHOLE FOODS MARKET,1101 S CANAL ST 1 107,CHICAGO,IL,60607,25,28,25-28,1,1010,Limited Business License,,,1678044,RENEW,,12/15/2010,01/13/2011,N,02/16/2011,02/15/2013,01/13/2011,01/14/2011,AAC,08/03/2012,,41.868889711,-87.639098928,"(41.86888971111206, -87.63909892808796)"
1899709-20080916,1920532,328660,1,"THE CORPORATE PRESENCE, INC.","THE CORPORATE PRESENCE, INC.",30 S WACKER DR 22 2231,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1899709,RENEW,,07/15/2008,09/22/2008,N,09/16/2008,09/15/2010,09/22/2008,09/23/2008,AAC,10/06/2008,,41.881407212,-87.637155093,"(41.88140721163485, -87.63715509324663)"
1937824-20081125,1937824,338180,1,CRESSEY & COMPANY LP,CRESSEY & COMPANY LP,233 S WACKER DR 92ND 9200,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1937824,ISSUE,10/24/2008,11/24/2008,11/24/2008,N,11/25/2008,09/15/2010,11/24/2008,11/25/2008,AAC,04/01/2010,,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)"
38576-20040216,1413921,33718,1,MONROE HEARING AID CORP,MONROE HEARING AID CORP,31 E ADAMS ST  400,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,38576,RENEW,,12/15/2003,01/26/2004,N,02/16/2004,05/15/2004,12/22/2003,01/27/2004,AAC,03/16/2004,1,41.87939908,-87.626559106,"(41.879399079856356, -87.62655910577415)"
1646285-20060516,1694070,296741,1,"KOHAN KAKU, CORPORATION",KOHAN JAPANESE RESTAURANT,730 W MAXWELL ST,CHICAGO,IL,60607,11,3,11-3,12,1006,Retail Food Establishment,,,1646285,RENEW,,03/27/2006,05/03/2006,N,05/16/2006,05/15/2007,05/03/2006,05/04/2006,AAC,08/31/2007,,41.864901572,-87.646292291,"(41.86490157227488, -87.64629229053516)"
1095570-20120416,2138902,9582,1,CHICAGO SYMPHONY ORCHESTRA,CHICAGO SYMPHONY ORCHESTRA/THE ORCHESTRAL ASSOCIATION,220 S MICHIGAN AVE,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,,,1095570,RENEW,,02/17/2012,04/06/2012,N,04/16/2012,04/15/2014,04/06/2012,04/09/2012,AAC,11/09/2012,,41.879029191,-87.624485858,"(41.87902919094286, -87.62448585784588)"
1548428-20051116,1642933,285936,1,FRESCO MARKET,NEW ORLEANS KITCHEN,100 W RANDOLPH ST LL,CHICAGO,IL,60601,42,9,42-9,1,1006,Retail Food Establishment,,,1548428,RENEW,,09/22/2005,11/15/2005,N,11/16/2005,11/15/2006,11/15/2005,11/16/2005,AAC,07/05/2006,,41.884586267,-87.631010446,"(41.88458626715456, -87.63101044588599)"
42401-20020216,1211293,55384,1,NEW MADISON STSTE CURR/EXCH IN,NEW MADISON STATE CURR/EXCHANG,3 W MADISON ST 1ST,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,42401,RENEW,,12/20/2001,02/11/2002,N,02/16/2002,02/15/2003,02/11/2002,02/11/2002,AAC,01/22/2003,1,41.881918686,-87.627937991,"(41.88191868600636, -87.62793799131184)"
1476163-20080516,1896317,60047,3,MIDWEST BANCARD CORPORATION,MIDWEST BANCARD CORP,1229 W WASHINGTON BLVD,CHICAGO,IL,60607,27,7,27-7,12,1010,Limited Business License,,,1476163,RENEW,,03/24/2008,04/28/2008,N,05/16/2008,05/15/2010,04/28/2008,04/29/2008,AAC,08/28/2009,,41.882854934,-87.657862354,"(41.88285493429101, -87.65786235364023)"
1245753-20030816,1375491,243732,1,ALLIED WASTE INDUSTRIES INC,JOHN SPOT PORTABLE SERVICES,1220 W CARROLL AVE,CHICAGO,IL,60607,27,33,27-33,12,1676,"Scavenger, Private",,,1245753,RENEW,,06/24/2003,09/04/2003,N,08/16/2003,08/15/2004,12/05/2003,03/19/2004,AAC,08/10/2004,,41.887803246,-87.657738003,"(41.88780324631944, -87.65773800320909)"
2120382-20110927,2120382,366590,1,CAROLINE M JOURDES,CAROLINE M JOURDES,1319 W FILLMORE ST 2ND B,CHICAGO,IL,60607,28,25,28-25,12,1012,Home Occupation,,,2120382,ISSUE,09/26/2011,09/27/2011,09/27/2011,N,09/27/2011,10/15/2013,09/27/2011,09/27/2011,AAC,12/29/2012,,41.868467649,-87.659974545,"(41.868467648813194, -87.65997454460482)"
