restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
-eXYVd25zif2AOVfzs4azg,"Rainbow Cone At the Park Grill Cafe","Rainbow Cone At the Park Grill Cafe - The Loop - Chicago, IL",1,5,"Food, Ice Cream & Frozen Yogurt, METADATA","11 N Michigan Ave (between Washington St & Madison St) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 521-7275",0
-GpWeQogXbJNFx_xE6arCA,"In & Out Moving & Storage","In & Out Moving & Storage - The Loop - Chicago, IL",14,3,"Home Services, Movers, Local Services, Self Storage, METADATA","27 N Wacker Dr Ste 108 (between Madison St & State St) Chicago, IL 60606 Serving Chicago and surrounding area Neighborhood: The Loop","Mon-Fri 9 am - 5 pm",,Yes,,,,,,,,,,,,,,,,,,http://www.inandoutmoving.com,"(773) 463-0874",95
-gRWlMxEYhUJmRHQiG3WBg,"Paul Young Fine Jewelers","Paul Young Fine Jewelers - The Loop - Chicago, IL",31,5,"Shopping, Jewelry, Local Services, Watch Repair, METADATA","34 W Randolph St (between N State St & N Dearborn St) Chicago, IL 60601 Neighborhood: The Loop","Mon-Sat 10 am - 6 pm",,Yes,"Garage, Street",,,$,,,,,,,,,,,,,Yes,,"(312) 726-7806",4
-guHhnAYoW7chTG4Vc5g4Q,"Nuts On Clark Union Station Inc","Nuts On Clark Union Station Inc - Near West Side - Chicago, IL",16,5,"Food, Specialty Food, METADATA","222 S Riverside Plz (between Adams St & Jackson Blvd) Chicago, IL 60606 Neighborhood: Near West Side",,,Yes,,,,$,,,,,,,,,,,,,,,"(312) 876-6887",2
-iC6IMSJaNL8BcWHxvf9Sg,"Roti Mediterranean Grill","Roti Mediterranean Grill - The Loop - Chicago, IL",93,4,"Restaurants, Mediterranean, METADATA","310 W Adams (between Franklin St & Wacker Dr) Chicago, IL 60606 Neighborhood: The Loop",,No,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://www.roti.com,"(312) 236-3500",7
-iXqnFg4a_IlGq4gqFXrSw,"Chipotle Mexican Grill","Chipotle Mexican Grill - The Loop - Chicago, IL",21,4,"Restaurants, Mexican, METADATA","8 E Madison St (between Holden Ct & State St) Chicago, IL 60602 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,Yes,,,No,Loud,,No,No,Yes,http://www.chipotle.com,"(312) 629-3662",2
-jBvJsJZxs-dEDKZsDXIug,"All Tangled Up Salon and Spa","All Tangled Up Salon and Spa - South Loop - Chicago, IL",4,4,"Beauty and Spas, Hair Salons, Hair Removal, METADATA","850 S Wabash Ave Ste 260 (between 8th St & 9th St) Chicago, IL 60605 Neighborhood: South Loop","Mon-Thu 9 am - 5 pm Fri 7 am - 6 pm Sat 7 am - 2 pm",,Yes,Street,,,$$,,,,,,,,,,,,,Yes,,"(312) 446-0588",11
-kOOJJZNsTy6upgze1jRfA,"Caribou Coffee","Caribou Coffee - South Loop - Chicago, IL",36,4,"Food, Coffee & Tea, METADATA","41 E 8th St (between Holden Ct & Wabash Ave) Chicago, IL 60605 Neighborhood: South Loop","Mon-Sat 5:30 am - 9:30 pm Sun 5:30 am - 8 pm",,Yes,Street,,,$,,,,,Yes,Free,,,,,,,Yes,http://www.cariboucoffee.com,"(312) 786-9205",4
-kwXSPyiUMsP6FCzUEYJmA,"Mei's Kitchen","Mei's Kitchen - South Loop - Chicago, IL",13,3,"Restaurants, American (Traditional), METADATA","1108 S Michigan Ave (between 11th St & Roosevelt Rd) Chicago, IL 60605 Neighborhood: South Loop","Mon-Sun 7 am - 10 pm",Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,,Breakfast,"Full Bar",Quiet,,Yes,,Yes,http://meiskitchen.com/,"(312) 294-2488",16
-l1vG_Oa1LzUouVUE3JhHQ,"Au Bon Pain","Au Bon Pain - The Loop - Chicago, IL",11,3,"Food, Bakeries, Restaurants, Sandwiches, METADATA","125 S Wacker Dr (between Adams St & Clark St) Chicago, IL 60606 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$$,No,Yes,Yes,No,Yes,,,No,"Very Loud",,No,,Yes,,"(312) 419-7576",1
-n8cYKty5pRIm6ggf59sxw,"Corner Bakery Cafe","Corner Bakery Cafe - Near Southside - Chicago, IL",11,3,"Restaurants, Breakfast & Brunch, Sandwiches, Event Planning & Services, Caterers, METADATA","1400 S Lake Shore Dr (between Mcfretridge Dr & Waldron Dr) Chicago, IL 60605 Neighborhood: Near Southside","Mon-Sun 9 am - 5 pm",Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,No,Free,,No,Average,,No,Yes,No,http://www.cornerbakerycafe.com,"(312) 588-1040",0
-oFLf8XkaaTy_QYYIgJ6kg,"Allied Gem Appraisers","Allied Gem Appraisers - The Loop - Chicago, IL",8,5,"Professional Services, METADATA","55 E Washington St Ste 404 (between Wabash Ave & Dearborn St) Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.alliedgemappraisers.com,"(312) 263-0090",5
-OfTDHHtqCRGZiXZjBgSjg,"Fannie May Candies","Fannie May Candies - The Loop - Chicago, IL",1,4,"Food, Desserts, Specialty Food, Candy Stores, METADATA","144 S. Dearborn St. Chicago, IL 60603 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,,,"(312) 726-3224",1
-OoRBi390Kiv6vDMKDOfNA,"Cajun Grill At Union Station","Cajun Grill At Union Station - Near West Side - Chicago, IL",16,2,"Restaurants, Chinese, METADATA","225 S Canal St (between Adams St & Fulton St) Chicago, IL 60606 Neighborhood: Near West Side",,Yes,Yes,Garage,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Loud,,No,No,Yes,,"(312) 648-8603",1
-pXN0db3PcFGxmFIhUAgEQ,"Chicago Chapter of the Appraisal Institute","Chicago Chapter of the Appraisal Institute - The Loop - Chicago, IL",1,5,"Add, METADATA","205 W Wacker Dr Ste 202 (between Adams St & Wells St) Chicago, IL 60606 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.appraisalinstitute.org,"(312) 616-9400",0
-R32EndpQtBGZxsfbPItiw,"Einstein Bros Bagels","Einstein Bros Bagels - The Loop - Chicago, IL",5,3,"Food, Bagels, METADATA","180 N Michigan Ave. Ste 101 (at Lake St) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,,http://einsteinbros.com,"(312) 419-0223",1
-rM3lJQNK0xB3jctDyhfVQ,"Daspin & Aument Llp","Daspin & Aument Llp - The Loop - Chicago, IL",1,5,"Professional Services, Lawyers, METADATA","227 W Monroe Street Suite 1800 Chicago, IL 60606 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.daspinaument.com,"(312) 795-0390",0
-SoALCgFIICnppHvmhr6Kg,"CBS 2 Chicago","CBS 2 Chicago - The Loop - Chicago, IL",7,3,"Mass Media, Television Stations, METADATA","22 West Washington St (between State St & Holden Ct) Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://cbs2chicago.com,"(312) 899-2222",2
-SSQ1tKlC0xJTDA4hS1wMg,"The Coffee Beanery","The Coffee Beanery - The Loop - Chicago, IL",2,4,"Food, Coffee & Tea, METADATA","150 N Michigan Ave Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 781-9970",0
-T3VU1ArNHupeRuO766U9Q,Spex,"Spex - The Loop - Chicago, IL",12,4,"Shopping, Eyewear & Opticians, METADATA","29 E Madison St Ste 808 (between Holden Ct & Wabash Ave) Chicago, IL 60602 Neighborhood: The Loop","Mon, Wed-Thu 8:30 am - 5 pm Tue, Fri 8 am - 5 pm",,Yes,Street,,,$$$,,,,,,,,,,,,,Yes,http://www.spexchicago.com,"(312) 782-4208",3
-TcRFgNoikGd36DlgokVdA,"Bella Bronze Tan & Body Spa","Bella Bronze Tan & Body Spa - Near Southside - Chicago, IL",45,5,"Beauty and Spas, Tanning, Day Spas, Skin Care, METADATA","1503 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside","Mon-Fri 9 am - 9 pm Sat 9 am - 7 pm",,Yes,"Street, Private Lot",,,$$,,,,,,,,,,,,,Yes,http://www.bellabronzetan.com,"(312) 427-6693",11
-ujJAzrSec4d1bl5W1ehBg,"Seattle's Best Coffee","Seattle's Best Coffee - CLOSED - The Loop - Chicago, IL",6,3,"Food, Coffee & Tea, METADATA","55 E Monroe St (between Wabash Ave & Michigan Ave) Chicago, IL 60603 Neighborhood: The Loop",,,Yes,Street,,,$,,,,,Yes,Free,,,,,,,Yes,http://seattlesbest.com/,"(312) 750-1430",0
-upcPPR1UkCzN8ffCJa_VQ,Walgreens,"Walgreens - The Loop - Chicago, IL",8,2,"Shopping, Drugstores, Beauty and Spas, Cosmetics & Beauty Supply, Food, Convenience Stores, METADATA","30 N Michigan Ave Chicago, IL 60602 Neighborhood: The Loop","Mon, Sun 8 am - 12 am Tue-Sat 7 am - 12 am",,Yes,,,,$$,,,,,,,,,,,,,,http://www.walgreens.com,"(312) 332-3540",0
-Vc6DgUUXKcVVVTQ4YZmJQ,IPO,"IPO - The Loop - Chicago, IL",30,4,"Restaurants, American (New), METADATA","172 W Adams St (between La Salle St & Wells St) Chicago, IL 60603 Neighborhood: The Loop",,No,Yes,,Casual,,$$$,Yes,No,No,Yes,No,,Dinner,"Full Bar","Very Loud","Hipster, Trendy",No,No,,http://www.starwoodhotels.com,"(312) 917-5608",3
-WL5bFWWhbwWCVI4GYBkhQ,"Beard Papa's Cream Puffs","Beard Papa's Cream Puffs - The Loop - Chicago, IL",321,4,"Food, Bakeries, Desserts, Coffee & Tea, METADATA","108 N State St (between Court Pl & Washington St) Chicago, IL 60602 Neighborhood: The Loop","Mon-Thu 7:30 am - 7:30 pm Fri 7 am - 7:30 pm Sat 10 am - 7 pm",,Yes,Street,,,$,,,,,No,,,,,,,,Yes,,"(312) 960-9000",25
-x256BGaUq3lUL2_oF2x_g,"A' Cappella Bistro","A' Cappella Bistro - Near Southside - Chicago, IL",22,2,"Restaurants, Breakfast & Brunch, Italian, METADATA","1301 S Michigan (between 13th St & 14th St) Chicago, IL 60605 Neighborhood: Near Southside","Mon-Fri 11 am - 9 pm Sat 10 am - 9 pm Sun 10 am - 7 pm",Yes,Yes,"Garage, Street",Casual,No,$$,,Yes,Yes,Yes,No,No,Dinner,No,,,No,,Yes,http://acappellabistro.com,"(312) 922-0600",18
0-j1UL2JhVfPc-flsK3aVA,"Bar Millennium","Bar Millennium - The Loop - Chicago, IL",7,4,"Nightlife, Bars, Pubs, METADATA","151 N Michigan Ave (at Randolph St) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,Yes,$,,,,,No,,,"Full Bar","Very Loud",Divey,Yes,,Yes,,"(312) 846-6875",4
01yNa41hLfHjKJl2mQ1vxA,"Twelfth Street Beach","Twelfth Street Beach - South Loop - Chicago, IL",6,4,"Active Life, Beaches, METADATA","Chicago, IL 60605",,Yes,,,,,,,,,,,,,,,,,,,,,1
03Rr6CHAjtJuoG_im3xg8w,Tesori,"Tesori - The Loop - Chicago, IL",6,4,"Restaurants, Italian, Mediterranean, METADATA","65 E Adams St (between Wabash Ave & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop","Mon-Sun 11 am - 9:30 pm",No,Yes,,Casual,Yes,$$$$,Yes,,,,,,,"Full Bar",Average,,Yes,,,http://www.tesorichicago.com/,"(312) 786-9911",2
05lOAHlV7gmOnu-TVdiQmQ,"Dunhill Staffing Services","Dunhill Staffing Services - The Loop - Chicago, IL",1,1,"Professional Services, Employment Agencies, METADATA","1 N La Salle Street Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 346-0933",0
07bYoHMPJidJffPau1Af1Q,"Sarah's Pastries and Candies","Sarah's Pastries and Candies - CLOSED - Chicago, IL",41,3,"Food, Coffee & Tea, Bakeries, Specialty Food, Chocolatiers and Shops, METADATA","111 N. State St Macy's Street Level (between Court Pl & Washington St) Chicago, IL 60602",,,Yes,"Garage, Street",,,$$,,,,,No,No,,,,,,,Yes,http://www.sarahscandies.com,"(312) 781-3004",4
091Y2qP4mAZpHfrdwqQyZQ,"Baldwin Kathleen Cooper MD","Baldwin Kathleen Cooper MD - The Loop - Chicago, IL",1,5,"Health and Medical, Doctors, METADATA","151 N Michigan Avenue Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 861-9498",0
09f1dbS5-6Nw-1eckNyn1Q,Passportvisaexpress.com,"Passportvisaexpress.com - The Loop - Chicago, IL",3,5,"Hotels & Travel, Travel Services, METADATA","431 S Dearborn St (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.passportvisaexpress.com,"(312) 291-0170",0
0aaNoHueSD9mmSWOYIW1qg,"McCormick Bridgehouse and Chicago River Museum","McCormick Bridgehouse and Chicago River Museum - The Loop - Chicago, IL",9,5,"Local Flavor, METADATA","376 N Michigan Ave (between Wacker Dr & Lower Wacker Dr) Chicago, IL 60601 Neighborhood: The Loop",,Yes,,,,,,,,,,,,,,,,,,,http://www.bridgehousemuseum.org,"(312) 977-0227",0
0c0sRK0EJy-0cpKm8T3rbg,"Chicago Architecture Foundation","Chicago Architecture Foundation - The Loop - Chicago, IL",166,5,"Arts & Entertainment, Museums, Hotels & Travel, Tours, METADATA","224 S Michigan Ave (between Jackson Dr & Adams St) Chicago, IL 60604 Neighborhood: The Loop","Mon-Sun 9 am - 6:30 pm",Yes,,,,,,,,,,,,,,,,,,,http://www.architecture.org,"(312) 922-3432",14
0E26D7x4PPE-J1BoT18uEQ,"Kozy's Cyclery","Kozy's Cyclery - CLOSED - Printer's Row - Chicago, IL",3,3,"Shopping, Sporting Goods, Bikes, Active Life, Bike Rentals, METADATA","601 S La Salle St (between Harrison St & Polk St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 360-0020",0
0EDi2DB63YXgmwaPeOsYEw,"Sunglass Hut Intl","Sunglass Hut Intl - The Loop - Chicago, IL",3,4,"Shopping, Eyewear & Opticians, METADATA","111 N State St Chicago, IL 60602 Neighborhood: The Loop",,,Yes,,,,$$$,,,,,,,,,,,,,,http://www2.sunglasshut.com,"(312) 845-9600",0
0Go04SmDIjLgxDP5tM1gNQ,Tantrum,"Tantrum - South Loop - Chicago, IL",53,3,"Nightlife, Bars, METADATA","1023 S State St (between 11th St & Taylor St) Chicago, IL 60605 Neighborhood: South Loop",,,Yes,Street,,Yes,$$,,,,,No,,,"Full Bar",Average,,Yes,,No,,"(312) 939-9160",13
0hjlH9KmXhyYMfrkBrLeew,"Chicago Blues Festival","Chicago Blues Festival - The Loop - Chicago, IL",16,5,"Arts & Entertainment, Jazz & Blues, Nightlife, METADATA","235 S Columbus Dr Chicago, IL 60604 Neighborhood: The Loop",,Yes,Yes,,,Yes,$,,,,,Yes,,,"Beer & Wine Only","Very Loud",,No,,,http://chicagobluesfestival.org,"(773) 866-9740",0
0IWIwWQKCSugciSuXAX2Xw,"Ashley Stewart","Ashley Stewart - The Loop - Chicago, IL",3,3,"Shopping, Fashion, Women's Clothing, METADATA","7 West Madison St. Chicago Building (between Holden Ct & State St) Chicago, IL 60602 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,Yes,http://www.ashleystewart.com,"(312) 920-0646",0
0lDrCk-haGBAZZeTtLwulw,Sopraffina,"Sopraffina - The Loop - Chicago, IL",27,4,"Restaurants, Italian, Sandwiches, METADATA","Illinois Center 111 E Wacker Dr Chicago, IL 60601 Neighborhood: The Loop","Mon-Fri 6:30 am - 3 pm",No,Yes,,Casual,No,$$,No,Yes,Yes,No,No,,Lunch,No,,,,,Yes,http://www.sopraffina.com,"(312) 861-0200",1
0MvTwFDsxRxtJIySaZtGSQ,"Yelptoberfest Elite Event @ The Berghoff","Yelptoberfest Elite Event @ The Berghoff - The Loop - Chicago, IL",56,5,"Local Flavor, METADATA","17 W Adams St (between Dearborn St & State St) Chicago, IL 60603 Neighborhood: The Loop",,No,,,,,,,,,,,,,,,,,,,http://www.gingerbydesign.com/blogâ€¦,,0
0mX-tNF24Ap58fwl8IGglg,"Harold Washington College","Harold Washington College - The Loop - Chicago, IL",29,3,"Education, Colleges & Universities, METADATA","30 E Lake St (between Dearborn St & State St) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://hwashington.ccc.edu/,"(312) 553-5600",11
0nV0x0u3NhWq-UfQAmLafw,"Dunkin' Donuts","Dunkin' Donuts - The Loop - Chicago, IL",3,1,"Food, Coffee & Tea, METADATA","220 W Washington St (between Franklin St & Wells St) Chicago, IL 60606 Neighborhood: The Loop",,,,,,,$,,,,,No,No,,,,,,,,http://www.dunkindonuts.com,"(312) 384-1890",0
0NxbQw_0CDMoivD7UcrMQg,"Hackney's Printers' Row","Hackney's Printers' Row - Printer's Row - Chicago, IL",334,4,"Restaurants, Burgers, Nightlife, Bars, American (Traditional), METADATA","733 S Dearborn St (between Harrison St & Polk St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop","Mon-Tue 11 am - 10 pm Wed-Thu 11 am - 10:30 pm Fri 11 am - 11:30 pm Sat 10:30 am - 10:30 pm Sun 10:30 am - 10 pm",Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,Yes,Yes,No,Dinner,"Full Bar",Average,Casual,Yes,No,Yes,http://www.hackneysprintersrow.net,"(312) 461-1116",31
0OBKdSLPrwKfLvU9y_4UyQ,"Glass Curtain Gallery","Glass Curtain Gallery - South Loop - Chicago, IL",1,5,"Arts & Entertainment, Museums, Art Galleries, Shopping, METADATA","1104 South Wabash First Floor Chicago, IL 60605 Neighborhood: South Loop",,,No,,,,,,,,,,,,,,,,,,http://www.colum.edu/deps,"(312) 344-6550",1
0qaoxkcF_Z1NNjXDMQoV6w,"Kaplan & Sklar, DDS","Kaplan & Sklar, DDS - The Loop - Chicago, IL",14,3,"Health and Medical, Dentists, General Dentistry, METADATA","111 N Wabash Ave Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 372-2945",8
0riReGUvbcjeDKFo290a6g,"Off-Track Betting-Otb","Off-Track Betting-Otb - The Loop - Chicago, IL",1,5,"Restaurants, Sandwiches, METADATA","233 W Jackson Blvd (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,"(312) 427-2300",0
0Rra5bzEUm4IxfqG4sonLg,"The Original Rainbow Cone","The Original Rainbow Cone - CLOSED - The Loop - Chicago, IL",15,4,"Food, Ice Cream & Frozen Yogurt, METADATA","177 N State St (between Benton Pl & Couch Pl) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,,$,,,,,,,,,,,,,Yes,,"(312) 931-3354",2
0s3yJUGqg9KrPCSwk8hJNA,Brandos,"Brandos - The Loop - Chicago, IL",143,4,"Nightlife, Bars, Lounges, Dance Clubs, Karaoke, METADATA","343 S Dearborn St Chicago, IL 60604 Neighborhood: The Loop","Mon-Fri 10 am - 2 am Sat 11 am - 3 am Sun 11 am - 2 am",,Yes,Street,,Yes,$$,,,,,No,,,"Full Bar",Average,Casual,Yes,,Yes,http://www.brandoschicago.com,"(773) 216-3213",47
0S9Jwud_Z-ViNoiR4me6iQ,"Patty Burger","Patty Burger - CLOSED - The Loop - Chicago, IL",70,3,"Restaurants, Burgers, American (Traditional), METADATA","72 E Adams St (between Dearborn St & Wabash Ave) Chicago, IL 60603 Neighborhood: The Loop",,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,No,,Lunch,No,,,No,,Yes,http://www.pattyburger.com,"(312) 987-0900",8
0SSiwwihNfYeM1-spqgIBQ,"Custom House Tavern","Custom House Tavern - Printer's Row - Chicago, IL",283,4,"Restaurants, American (New), METADATA","500 S Dearborn St (between Congress Pky & Harrison St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop","Mon-Fri 11:30 am - 10 pm Sat 12 pm - 10 pm Sun 10:30 am - 2 pm Sun 5 pm - 9 pm",No,Yes,"Garage, Street, Valet",Dressy,Yes,$$$,Yes,No,Yes,Yes,No,No,Dinner,"Full Bar",Quiet,"Classy, Upscale",Yes,,Yes,http://www.customhouse.cc/,"(312) 523-0200",42
0ST47AokxIzBKKffPvsuIw,"NYC Bagel Deli","NYC Bagel Deli - The Loop - Chicago, IL",95,4,"Food, Bagels, METADATA","300 S Wacker (between Jackson Blvd & Franklin St) Chicago, IL 60606 Neighborhood: The Loop","Mon-Thu 6 am - 7 pm Fri 6 am - 5 pm Sun 8 am - 2 pm",,Yes,Street,,,$$,,,,,,,,,,,,,Yes,http://www.nycbageldeli.com,"(312) 922-7500",10
